Titre,Date,ID,date_version
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_03-11-1955,2021-08-26
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_03-06-1955,2021-10-27
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_31-05-1950,2022-01-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-06-1950,2022-08-18
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_29-01-1953,2021-08-25
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_11-03-1958,2022-02-23
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_21-12-1958,2021-09-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_16-03-1957,2022-08-05
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_25-08-1960,2021-10-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_08-06-1960,2021-08-27
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_27-11-1960,2022-01-16
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_22-06-1960,2021-08-19
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_04-02-1962,2021-08-20
